"","SITE","TREATMENT","numfloralunits","richness"
"1","balaclava","1",232852,2
"2","bobolink","1",214080,1
"3","china creek","0",205870,3
"4","falaise","0",531958,17
"5","gordon","1",5947,8
"6","kensington","1",25488,4
"7","locarno","0",1191628,13
"8","moberly","1",19514,3
"9","oak meadows","0",24242,5
"10","prince of wales","0",7036,3
"11","queen elizabth","0",46127,8
"12","quilchena","1",92294,5
"13","slocan","1",588994,5
"14","south memorial","0",441356,6
"15","west memorial","0",33124,13
