"","site","treatment","sum_genera"
"1","balaclava","1",9
"2","bobolink","1",10
"3","china creek","0",13
"4","falaise","0",12
"5","gordon","1",8
"6","kensington","1",8
"7","killarney","0",11
"8","locarno","0",13
"9","moberly","1",8
"10","oak meadows","0",11
"11","prince of wales","0",12
"12","queen elizabeth","0",13
"13","quilchena","1",9
"14","rupert","1",11
"15","slocan","1",9
"16","south memorial","0",10
"17","west memorial","0",13
"18","winona","1",10
